"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U11,U2";"LM78XX";2;"7805";;;
2;"U10";"LM78XX";1;"7812";;;
3;"T1";"transformer_12V/5AV";1;"TRANSFO2";;;
4;"Q6,Q1,Q2,Q3,Q4,Q5,Q7";"2NXXX_etc";7;"2N2222";;;
5;"P2";"logo";1;"logo";;;
6;"U3,U1";"DIP-18__300_ELL";2;"PIC16F628A";;;
7;"D7,D5";"Bridge_1A_O_ETC";2;"BRIDGE";;;
8;"C12,C6";"C-P_ETC";2;"103";;;
9;"C5";"CAP_2200_25V";1;"2200UF";;;
10;"X2,X1";"CRYSTAL_ETC";2;"20_MHZ";;;
11;"D14,D13,D12,D11,D10,D19,D15";"DIOD_ETC";7;"1N004";;;
12;"U8,U7,U6,U5,U4,U12,U9";"EL817-POTO-CUPLER";7;"PC_817";;;
13;"D4,D8,D3,D2,D1,D9";"LED-5MM_ETC";6;"LED";;;
14;"SW2,SW1";"PRESS_PUSH";2;"SW_PUSH";;;
15;"R23,R22,R21,R20,R5,R24";"R_0.25WATT_ETC";6;"2.2K";;;
16;"R1,R3,R4,R7,R8,R2";"R_0.25WATT_ETC";6;"10k";;;
17;"R19";"R_0.25WATT_ETC";1;"2k";;;
18;"R13,R14,R16,R17,R6,R18";"R_0.25WATT_ETC";6;"150_R";;;
19;"R15";"R_0.25WATT_ETC";1;"180_R";;;
20;"P2";"ROZT_2PIN_ETC";1;"220V";;;
21;"P1";"ROZT_2PIN_ETC";1;"TX-RX";;;
22;"P4";"ROZT_2PIN_ETC";1;"RX-TX";;;
23;"P6";"ROZT_2PIN_ETC";1;"-12V+";;;
24;"P5";"SIL-8";1;"CONN_8";;;
25;"D18,D6,D17,D16";"Zener_ETC";4;"ZENER_5.1v";;;
26;"C7,C8";"C_pf_ETC";2;"104";;;
27;"C2,C1,C10,C9";"C_pf_ETC";4;"22pf";;;
28;"C4";"C_2200uF_25V_etc";1;"2200UF_25v";;;
29;"C3";"C_2200uF_25V_etc";1;"47uf_25v";;;
30;"C11,C13";"C_pf_ETC";2;"103";;;
31;"F1";"Fuse_ETC";1;"FUSE";;;
32;"P2";"logo";1;"CONN_2";;;
33;"P3";"ROZT_2PIN_ETC";1;"+12v-";;;
34;"D20";"LED-5MM-etc";1;"LED";;;
35;"R9";"R_0.5WATT";1;"22R";;;
36;"K14";"ROZT_3_PIN_ETC";1;"RELLAY6";;;
37;"K11";"ROZT_3_PIN_ETC";1;"RELLAY5";;;
38;"K5";"ROZT_3_PIN_ETC";1;"RELLAY4";;;
39;"K4";"ROZT_3_PIN_ETC";1;"RELLAY3";;;
40;"K3";"ROZT_3_PIN_ETC";1;"RELLAY2";;;
41;"K2";"ROZT_3_PIN_ETC";1;"RELLAY1";;;
42;"K12";"ROZT_3_PIN_ETC";1;"RELLAY7";;;
43;"K13,K10,K1,K6,K7,K8,K9";"RELAY_ETC";7;"RELAY_5PIN_12V";;;
