"           .1uF;  1;""C4""",,,,,,,,,
"     10000u/25v;  1;""C6""",,,,,,,,,
"            104;  2;""C8"," C10""",,,,,,,,
"            10K; 10;""R12", R15, R18, R21, R24, R30, R33, R36, RV1," RV2"""
"      10k-0.25w;  8;""R2", R3, R4, R5, R6, R7, R8," R9""",,
"           180R;  8;""R10", R13, R16, R19, R22, R25, R31," R34""",,
"             1K;  9;""R11", R14, R17, R20, R23, R26, R29, R32," R35""",
"         1N4001;  1;""D1""",,,,,,,,,
"          20MHz;  1;""X1""",,,,,,,,,
"         20R/2w;  1;""R37""",,,,,,,,,
"      2200u/25v;  1;""C5""",,,,,,,,,
"      220uF-25v;  1;""C1""",,,,,,,,,
"            22p;  2;""C2"," C3""",,,,,,,,
"         2N2222;  9;""Q1", Q2, Q3, Q4, Q5, Q6, Q7, Q8," Q9""",
"      32.768KHz;  1;""X2""",,,,,,,,,
"     330R-0.25w;  1;""R1""",,,,,,,,,
"            334;  2;""C7"," C9""",,,,,,,,
"           7805;  2;""U1"," U12""",,,,,,,,
"     BATTERY 3V;  1;""BT1""",,,,,,,,,
"         CONN_1;  9;""P11", P12, P13, P14, P15, P16, P17, P18," P55""",
"        CONN_10;  1;""P9""",,,,,,,,,
"         CONN_2;  3;""P1", P5," P8""",,,,,,,
"         CONN_4;  1;""P2""",,,,,,,,,
"         DS1307;  1;""P3""",,,,,,,,,
"          EL817;  9;""U3", U4, U5, U6, U7, U8, U9, U10," U11""",
"        FUSE-1A;  1;""F1""",,,,,,,,,
"      GREEN LED;  1;""D2""",,,,,,,,,
"      IC_16_PIN;  2;""P7"," P10""",,,,,,,,
"JACK_I/P SUPPLAY12V;  1;""J1""",,,,,,,,,
"     PIC16F877A;  1;""U2""",,,,,,,,,
"              R;  5;""R27", R28, R38, R39," R40""",,,,,
"    ROZETA 8PIN;  1;""P6""",,,,,,,,,
"         sil_20;  1;""P4""",,,,,,,,,
"        SW_PUSH;  1;""SW2""",,,,,,,,,
"    SWITCH_6PIN;  1;""SW1""",,,,,,,,,
